content,sentiment,decision_source,cleaned_content
"71 continuous weeks! 

Loud and proud for Palestine!

Naarm/Melbourne saying it clearly. 

FROM THE RIVER TO THE SEA PALESTINE WILL BE FREE!

ALWAYS WAS, ALWAYS WILL BE, ABORIGINAL LAND!",Positive,User agreement,continuous week loud proud palestine naarm melbourne say clearly river sea palestine free aboriginal land
Real,Irrelevant,User agreement,real
@Partisangirl @Israel As if they will delete it. Every single thing they post is a lie. Demons,Positive,Pro user,user user delete single thing post lie demon
"THREAD🧵The Albanese Labor Government has quietly extended the lease on Australia's Defence and Trade office with Israel in Jerusalem.Instead of ending the two-way arms trade, the Albanese Government is choosing to deepen military ties with Israel.[source Austender]",Positive,Pro user,thread albanese labor government quietly extend lease australia defence trade office israel end way arm trade albanese government choose deepen military tie austender
"We're back and we're out!

Melbourne/Naarm!!!

In our thousands, in our millions!!!

#FreePalaestineFromIsraelNOW 
#FreePaleatine 
#FreeGazaFromIsrael 
#freegaza",Positive,User agreement,melbourne naarm thousand million
"That's why we made child care cheaper, saving families thousands of dollars a year on fees.",Negative,Pro user,child care cheap save family thousand dollar year fee
@mjfree So they want people do vote for pedos who are carrying out replacement genocide,Negative,Pro user,user want people vote pedo carry replacement genocide
LFG #becomingwolverineagainagain,Irrelevant,User agreement,lfg
@ZacJones84 What's the problem?,Irrelevant,User agreement,user problem
"The new entrance at the Australian War Memorial is marked by a magnificent oculus. 

This is a place of light where Australians can reflect on the darkness of war. 

I hope every visitor to Canberra can make their way here to this magnificent building and pay tribute to those who made the ultimate sacrifice for our country.",Negative,User agreement,new entrance australian war memorial mark magnificent oculus place light australian reflect darkness war hope visitor canberra way magnificent building pay tribute ultimate sacrifice country
"You don't knock out comms unless you are trying to hide unprecedented crimes against humanity

Israel massacre 750 Palestinians in a 24 hour period. With the lights on and the world watching

I can't imagine what it's willing to do when it knows no one can see. This is genocide",Positive,User agreement,knock comms try hide unprecedented crime humanity israel massacre palestinians hour period light world watch imagine willing know genocide
@Vitaliko @ACTBrigitte Its capital is Jerusalem . The muslims took control of it in 637 . They took it from Christains not jews . Because you people were still Khazarians then,Positive,Pro user,user user capital jerusalem muslims take control take christain jews people khazarian
This one's for all the TAFE students out there.,Irrelevant,User agreement,tafe student
"So after the Sandford Police Parody account replied to Elon Musk's ""Free Tommy Robinson"" with a ""No"" it seems like Elon no longer likes sarcasm, look at what happened to their account.What is this?",Negative,User agreement,sandford police parody account reply elon musk free tommy robinson like elon long like sarcasm look happen
"📍Western Australia 
@BlackSwanAus @EuropeanAusMvt @NSNContactBot",Negative,Pro user,western australia user user user
@IImpartialTruth,Irrelevant,Pro user,user
"Thanks to the honourable Senator Fatima Payman for meeting with Professor Mazin Qumsiyeh and for calling out Israeli genocide. Today, her Parliamentary colleagues who believe in human rights, must support her. From the river to the sea, Palestine will be free!",Positive,User agreement,thank honourable senator fatima payman meet professor mazin qumsiyeh call israeli genocide today parliamentary colleague believe human right support river sea palestine free
The Australian and Indian teams have already given us an incredible summer of cricket.,Irrelevant,User agreement,australian indian team give incredible summer cricket
@Angelic_Air @SlanderedSaint2 @Ostrov_A Yes . I've seen Geert LOL,Irrelevant,User agreement,user user user yes see geert lol
"For my great-grandparents, for all Jews, for all humanity, I say never again.

My op ed in The Guardian today.",Negative,User agreement,great grandparent jews humanity op ed guardian today
"Ukraine war in 2 years: 560 children killed.Gaza war in 2 months: 8,663 children killed.This is genocide.",Positive,User agreement,ukraine war year child war month child genocide
